stage,epoch,loss,val_auc
1,1,0.6616281783858011,0.8255864622657552
1,2,0.5396483013796252,0.8615394262490221
1,3,0.48908901145291883,0.8653209281365848
1,4,0.41862092600312345,0.8703214808012788
1,5,0.36095671459685924,0.8725480818283848
1,6,0.33231294328390165,0.8568173315648063
1,7,0.298313717509425,0.8703895010713193
1,8,0.25879038870334625,0.8705074737271706
1,9,0.2533356387947881,0.8704224483896201
1,10,0.23315716482872187,0.8733898326701357
2,1,0.05636029552875495,0.8473253154440024
2,2,0.004495130914862857,0.864379272523212
2,3,0.004347980696812268,0.8564070843111248
2,4,0.00403198900588091,0.8779397510458116
2,5,0.0037860963429864466,0.8670235605210352
2,6,0.00361174030446553,0.8630879502091624
2,7,0.0032912326342846437,0.8812312944257389
2,8,0.002811404785018042,0.8742432744957997
2,9,0.0025141360527340343,0.8322333180287727
2,10,0.002406186916947003,0.8350859181035949
2,11,0.002097628969340521,0.8552337346529266
2,12,0.0018776534101948952,0.8402342022922831
2,13,0.0016666648762937606,0.8396422133795871
2,14,0.0017234305769589409,0.8417508417508418
