model,fold,epoch,loss,val_auc
swinv2_cr_tiny_384,3,1,0.00734601946018971,0.7225956961575076
swinv2_cr_tiny_384,3,2,0.006906976875927539,0.7308403686616661
swinv2_cr_tiny_384,3,3,0.006472857305999612,0.7330623816547929
swinv2_cr_tiny_384,3,4,0.006275186827312763,0.7802435426670433
swinv2_cr_tiny_384,3,5,0.006092271295721672,0.7603824707863875
swinv2_cr_tiny_384,3,6,0.006070594948548742,0.7899026038560922
swinv2_cr_tiny_384,3,7,0.005937342953928957,0.7915816673466611
swinv2_cr_tiny_384,3,8,0.005857742480597335,0.79023004739039
swinv2_cr_tiny_384,3,9,0.005747621687156841,0.7900040799673602
swinv2_cr_tiny_384,3,10,0.00581575782397137,0.7972339913588383
swinv2_cr_tiny_384,3,11,0.005651154783145096,0.7978846938455262
swinv2_cr_tiny_384,3,12,0.005460469991495512,0.8037012626975908
swinv2_cr_tiny_384,3,13,0.005441724160126683,0.8003410434254987
swinv2_cr_tiny_384,3,14,0.0053654145622196985,0.8032137589053134
swinv2_cr_tiny_384,3,15,0.00530982472839503,0.8058312148887425
swinv2_cr_tiny_384,3,16,0.005320355375585956,0.818146439443869
swinv2_cr_tiny_384,3,17,0.005214693620559145,0.8158281810668592
swinv2_cr_tiny_384,3,18,0.005140245438242492,0.8286089403592464
swinv2_cr_tiny_384,3,19,0.005135388407224181,0.8261557292157047
swinv2_cr_tiny_384,3,20,0.005026117443439658,0.8266003410434255
swinv2_cr_tiny_384,3,21,0.005046869363279852,0.8313969180554248
swinv2_cr_tiny_384,3,22,0.004916814750000049,0.8317839918819111
swinv2_cr_tiny_384,3,23,0.0049906926420296375,0.8308016612790174
swinv2_cr_tiny_384,3,24,0.0049545670244349315,0.830850830116436
swinv2_cr_tiny_384,3,25,0.00492802442694293,0.8308236303340342
