epoch,tr_loss,tr_auc,vl_loss,vl_auc,vl_acc,vl_f1,lr,time_s
1,0.4861856822739069,0.5966693224442876,0.4594064552675594,0.7222678086055695,0.9806212596181249,0.0,0.00011158617247341532,785.4041411876678
2,0.4393431155734149,0.7529430698501685,0.36954817118292504,0.8438210506521701,0.9806212596181249,0.0,0.00027260294339498316,622.468757390976
3,0.40115234583698633,0.7819237069794408,0.4282927925952456,0.8242046600680377,0.9806212596181249,0.0,0.0002996328119953768,616.6796441078186
4,0.383232420580393,0.8041406897301115,0.3378505861555988,0.8552660820213002,0.9652322599031063,0.14084507042253522,0.0002967168015853428,610.3384807109833
5,0.36317417984118994,0.8209867822340988,0.41689159585670993,0.8204907943997127,0.9794813337133086,0.1,0.0002909451271986558,609.8601226806641
6,0.3553891507794289,0.8243265208884237,0.40704251658171414,0.8381754619895038,0.9558278711883728,0.2131979695431472,0.00028243012791207044,613.4458665847778
7,0.34654614441920556,0.8379528404667592,0.3451849782670086,0.8560097098996529,0.9515531490453121,0.23423423423423423,0.0002713375385010319,606.647784948349
8,0.33774710043404405,0.8450199612249318,0.37524644302373583,0.8602834333384617,0.9783414078084924,0.13636363636363635,0.0002578832636007927,605.9122974872589
9,0.3264349545020363,0.8687604863897651,0.3576346093619412,0.8659461168948835,0.9677970931889427,0.25165562913907286,0.00024232917536827514,605.219756603241
10,0.31195220325132994,0.8823923016048332,0.4093334880403497,0.888737883994051,0.9803362781419208,0.24175824175824176,0.00022497801643841188,603.4320387840271
11,0.3189468760894616,0.8757040223414163,0.34000363051891325,0.8897635776193651,0.9740666856654318,0.23529411764705882,0.00020616750738312214,604.8129603862762
12,0.3017307896057203,0.8946095041809732,0.32348643602295357,0.8956955057524317,0.9680820746651467,0.30864197530864196,0.00018626377336453004,598.9131999015808
13,0.2936088705677951,0.9052483866955191,0.375473039123145,0.8899986324084995,0.9803362781419208,0.24175824175824176,0.00016565421792514575,603.7224979400635
14,0.28577098990870636,0.9074309587178492,0.4473826970735734,0.8747457134553909,0.9737817041892277,0.23333333333333334,0.000144739982618575,600.2772805690765
15,0.2786548957617665,0.9216188162023167,0.40154854450374844,0.8821691710686017,0.9677970931889427,0.26143790849673204,0.0001239281392454701,601.009546995163
16,0.2687585781115572,0.9263909501249967,0.46541181086477906,0.8730960562080107,0.9780564263322884,0.18947368421052632,0.00010362376666396751,602.9995646476746
17,0.2607255517310607,0.9379125748746995,0.44076588819311424,0.8831734960767219,0.9777714448560844,0.25,8.422206639048485e-05,608.2091705799103
18,0.24529294152766998,0.9470872052998313,0.5065892589532516,0.8837760910815939,0.9791963522371046,0.21505376344086022,6.61006704517384e-05,600.2431223392487
19,0.25283533168947486,0.943549757763056,0.45733005788854575,0.8748568302647999,0.969222000569963,0.2894736842105263,4.9612291206893443e-05,594.9541623592377
