model,fold,epoch,loss,val_auc
efficientnet_b4,1,1,0.010389664087230152,0.823428944325409
efficientnet_b4,1,2,0.005730087486599078,0.8576814015576641
efficientnet_b4,1,3,0.005294592193450676,0.8857238206985683
efficientnet_b4,1,4,0.004971023599062403,0.8800377512498725
efficientnet_b4,1,5,0.004564121740902987,0.871625556915961
efficientnet_b4,1,6,0.004368006460015365,0.8801992993912187
efficientnet_b4,1,7,0.003992587592829126,0.8720528092371526
efficientnet_b4,1,8,0.003658070647310614,0.8618795275992246
efficientnet_b4,1,9,0.003416019976436886,0.8253547682209297
efficientnet_b4,1,10,0.0028007767089192107,0.8760521885521886
