epoch,loss,val_auc
1,0.017996281928181077,0.7700851103628881
2,0.00652347255993885,0.8370861391694725
3,0.005581062411145026,0.8544196170458798
4,0.0051858925178986165,0.8551253273475496
5,0.004814550503515816,0.8598867462503825
6,0.004501287766621735,0.8395168010067
7,0.004271077756525104,0.8429220657756011
8,0.0037006715270955447,0.8536065622555522
9,0.0035178702568294325,0.8535353535353536
10,0.0031925665388941823,0.8263942029724858
11,0.0029597858891896108,0.8455961126415672
12,0.002470638122371869,0.8280745162058293
