fold,epoch,tr_loss,tr_auc,vl_loss,vl_auc,time_s
5,1,0.007538987665186661,0.6906386550773093,0.00509205054310812,0.8265401647618118,162.59868478775024
5,2,0.005814116817854952,0.7995625059167103,0.004678700342237713,0.8636868711536583,161.27205204963684
5,3,0.005477342461902727,0.8281429514012917,0.004620665666750376,0.8791322734525089,161.93601417541504
5,4,0.005251391766922169,0.8525991814442151,0.004594593752071153,0.8670865080915633,162.00574040412903
5,5,0.005288984884908723,0.8462776301425796,0.004576478491039184,0.8729781267298361,162.37779092788696
5,6,0.005104558275393483,0.8616236086913229,0.004453720051868531,0.8724347546481717,161.1187400817871
5,7,0.0047474123736204864,0.8875762169407965,0.004755352131143915,0.872751212920452,161.968985080719
5,8,0.00465418985103924,0.892217166934959,0.004501336496860025,0.8872401175474586,161.87875366210938
5,9,0.004427761383834867,0.908580206260355,0.004504453014270441,0.8895804841913321,160.623920917511
5,10,0.004143791259241417,0.9235961780556141,0.005408854710896933,0.8808631272182605,161.94551515579224
5,11,0.003889248610547349,0.933237987825736,0.004217629256489794,0.903956440689004,162.10184931755066
5,12,0.003516415774410325,0.9507884073984487,0.0045318100613899095,0.8922566425710657,162.11857414245605
5,13,0.003202881808462287,0.9600941786931365,0.006044335422288604,0.8892691136726255,161.01126384735107
5,14,0.0029227543758382677,0.9674175581176856,0.005462012200646985,0.8771042948780567,161.68467664718628
5,15,0.0024543504544266236,0.979468018481196,0.006129049802231373,0.8872207840838788,162.28444981575012
5,16,0.002313010427756025,0.9814836359383489,0.0067947790433542645,0.895592173813943,161.0853750705719
