epoch,tr_loss,tr_auc,vl_loss,vl_auc,vl_acc,vl_f1,lr,time_s
1,0.008418432151458537,0.6472054106375511,0.005989276434411295,0.8233306836248012,0.9806212596181249,0.0,7.43625667483521e-05,196.97164130210876
2,0.005631404619447141,0.7896360065540161,0.0056831970165314325,0.8547340034531685,0.9806212596181249,0.0,0.00018170046979696075,151.87642240524292
3,0.00554917067093706,0.7999537294195107,0.005894751626593378,0.8670786536061679,0.9806212596181249,0.0,0.00019975580736552716,152.17892980575562
4,0.005301650113990205,0.8206064663002194,0.005778057864782485,0.8451074414072517,0.9803362781419208,0.0,0.00019781298529535934,150.61460137367249
5,0.005278160665174249,0.8239462496345178,0.005537238836404867,0.8708822674667076,0.9803362781419208,0.0,0.00019396635251258407,151.79617762565613
6,0.005060049714986092,0.847317986298618,0.005960140545820732,0.8544433902593295,0.9794813337133086,0.14285714285714285,0.00018829077934883812,151.76360154151917
7,0.004966221070133037,0.856011592129748,0.0057415371483578136,0.8768163324614937,0.9809062410943289,0.028985507246376812,0.00018089673437988505,152.2627773284912
8,0.004770917499005876,0.8748929467836495,0.006488740017746088,0.8576016718806092,0.9734967227130237,0.2184873949579832,0.000171928134280444,151.44770073890686
9,0.004667622889234045,0.879817216015876,0.007034069042724282,0.8606531104159187,0.9749216300940439,0.18518518518518517,0.00016155954264981918,152.2310667037964
10,0.0044504558164730765,0.8966613872810055,0.00539761343712929,0.8922081474263638,0.9803362781419208,0.08,0.00014999277233000255,151.49489617347717
11,0.004266795724428274,0.9099090887644523,0.00631653301215093,0.8706984973588389,0.9806212596181249,0.19047619047619047,0.00013745295734826312,151.10725164413452
12,0.004155556462714145,0.913931626772812,0.00558753090140685,0.8954796827187719,0.97606155599886,0.23636363636363636,0.0001241841709393923,150.8617823123932
13,0.0038999621118700613,0.930039427395758,0.00595826653761006,0.884421423320854,0.9777714448560844,0.1702127659574468,0.00011044467493781793,151.1463496685028
14,0.0037138166043063463,0.9350413504218147,0.005505037697201425,0.8957895276680856,0.9794813337133086,0.21739130434782608,9.650189300476557e-05,150.5189564228058
15,0.0034031597810081026,0.9492268845476636,0.005968719208613038,0.8937253192471408,0.9800512966657168,0.2391304347826087,8.262720553088278e-05,150.48936772346497
16,0.003077401832570662,0.9583840897831556,0.006975596979695679,0.8945010000512847,0.9754915930464519,0.21818181818181817,6.90906675256255e-05,151.42963099479675
17,0.0029657948148012515,0.9645137353387134,0.006910238129057689,0.897366531617006,0.9729267597606156,0.20168067226890757,5.6155752303682356e-05,151.7992889881134
18,0.0025245310598866373,0.9747744465581051,0.007946862232438434,0.8886609569721524,0.9754915930464519,0.2037037037037037,4.407422327660051e-05,151.93068647384644
19,0.0024611133726768182,0.9780005640399847,0.008135638878535576,0.8877079166452981,0.9734967227130237,0.2184873949579832,3.3081233664356436e-05,152.01917123794556
20,0.0021325961610389427,0.9822313107245519,0.00827447925146523,0.8853402738601979,0.9752066115702479,0.24347826086956523,2.3390749505412214e-05,150.69626569747925
21,0.0019018714305358035,0.9868422393030782,0.009583826219532264,0.8793997982802537,0.9752066115702479,0.24347826086956523,1.5191385051159278e-05,151.51094579696655
22,0.0018451931351509384,0.9879598194786097,0.009420695297053912,0.8762650221378874,0.9746366486178398,0.1981981981981982,8.642731604060843e-06,151.4335527420044
23,0.0019090234683181025,0.9858587884077987,0.009601875725649672,0.8782117031642649,0.9752066115702479,0.18691588785046728,3.8722512544818116e-06,151.28841090202332
24,0.0018877533910834053,0.986846215820714,0.00950303561357838,0.8807289262697232,0.9754915930464519,0.18867924528301888,9.727959760857484e-07,150.85928511619568
