model,fold,epoch,loss,val_auc
swinv2_base_window8_256,1,1,0.006512499057451475,0.8467885930007142
swinv2_base_window8_256,1,2,0.006270336185451167,0.7838953508145428
swinv2_base_window8_256,1,3,0.006477902189398613,0.8059041594395129
swinv2_base_window8_256,1,4,0.006429483825147896,0.7600446808148829
swinv2_base_window8_256,1,5,0.006628987013839985,0.646838757949869
swinv2_base_window8_256,1,6,0.006649917820288002,0.6935856885351835
swinv2_base_window8_256,1,7,0.0065900390056514695,0.6451573818998062
swinv2_base_window8_256,1,8,0.006613502375398215,0.7343351443730232
