model,fold,epoch,loss,val_auc
swinv2_small_window8_256,2,1,0.006105405312053911,0.866338407811112
swinv2_small_window8_256,2,2,0.00580827443968816,0.8125254962961268
swinv2_small_window8_256,2,3,0.006160183161772133,0.7771709500444159
swinv2_small_window8_256,2,4,0.006243659239860877,0.7521226262233456
swinv2_small_window8_256,2,5,0.006384011785864112,0.5486879177103468
swinv2_small_window8_256,2,6,0.006431898754237857,0.6114869630527692
swinv2_small_window8_256,2,7,0.006343723166077272,0.6769271387341637
swinv2_small_window8_256,2,8,0.006400386635987953,0.50009721952168
