model,fold,epoch,loss,val_auc
swinv2_cr_tiny_384,4,1,0.00775182055452351,0.728423247433144
swinv2_cr_tiny_384,4,2,0.007077071137244702,0.7326835894133008
swinv2_cr_tiny_384,4,3,0.006727921001525584,0.7428958797480885
swinv2_cr_tiny_384,4,4,0.006365817730880984,0.7865593728776605
swinv2_cr_tiny_384,4,5,0.006403784635109797,0.7558711271611838
swinv2_cr_tiny_384,4,6,0.006270760947180372,0.787400163897862
swinv2_cr_tiny_384,4,7,0.00606105887552988,0.8072608757759461
swinv2_cr_tiny_384,4,8,0.006038175878441353,0.8162075939342754
swinv2_cr_tiny_384,4,9,0.00593667291870801,0.8131789920030874
swinv2_cr_tiny_384,4,10,0.005930426531163484,0.8041971886755097
swinv2_cr_tiny_384,4,11,0.00585418208448568,0.8066230775206815
swinv2_cr_tiny_384,4,12,0.005770937017749962,0.8153016447426127
swinv2_cr_tiny_384,4,13,0.005795764080380597,0.8288282305296106
swinv2_cr_tiny_384,4,14,0.005724117386839962,0.8281340453951969
swinv2_cr_tiny_384,4,15,0.005655922743810879,0.8251944094288887
swinv2_cr_tiny_384,4,16,0.005536681766022858,0.8405830152695669
swinv2_cr_tiny_384,4,17,0.005665250383435043,0.8448859606695253
swinv2_cr_tiny_384,4,18,0.005491185016191173,0.8450325665553131
swinv2_cr_tiny_384,4,19,0.005519717686847721,0.8470775307057883
swinv2_cr_tiny_384,4,20,0.005512315982426485,0.8411393658105051
swinv2_cr_tiny_384,4,21,0.005457134660075625,0.8484746722669279
swinv2_cr_tiny_384,4,22,0.005475060288012655,0.846868272732057
swinv2_cr_tiny_384,4,23,0.0054061896588754686,0.8502552446062818
swinv2_cr_tiny_384,4,24,0.005424731924621119,0.8503792957404099
swinv2_cr_tiny_384,4,25,0.005355433067100232,0.8504632495382541
