model,fold,epoch,loss,val_auc
swinv2_base_window8_256,3,1,0.006182080362237209,0.831892791011518
swinv2_base_window8_256,3,2,0.005983408961579857,0.7524066576698154
swinv2_base_window8_256,3,3,0.007384409422911516,0.7357687600037661
swinv2_base_window8_256,3,4,0.006282089694516889,0.6223446212430301
swinv2_base_window8_256,3,5,0.006422704606069456,0.6569239138394585
swinv2_base_window8_256,3,6,0.006409841920994685,0.7693029532686815
swinv2_base_window8_256,3,7,0.006353243437666299,0.6831717038571383
swinv2_base_window8_256,3,8,0.006328722742040479,0.4928443649373882
