model,fold,epoch,loss,val_auc
pvt_v2_b3,5,1,0.006598612841725957,0.8264228272427869
pvt_v2_b3,5,2,0.006297848200920938,0.8399202069072425
pvt_v2_b3,5,3,0.006359575003760823,0.8465968273134965
pvt_v2_b3,5,4,0.006427663043211677,0.7888610583055253
pvt_v2_b3,5,5,0.006419442296182112,0.7869600572204045
pvt_v2_b3,5,6,0.006404006482492342,0.7929853331919141
pvt_v2_b3,5,7,0.006341970137219263,0.8186461282400646
pvt_v2_b3,5,8,0.006494570608720374,0.8089317135389895
pvt_v2_b3,5,9,0.00627973024536313,0.7173056369169516
pvt_v2_b3,5,10,0.006171063757806822,0.7965983230940357
