model,fold,epoch,loss,val_auc
swinv2_cr_tiny_384,2,1,0.007286580331011255,0.7299575284128819
swinv2_cr_tiny_384,2,2,0.006914697760747423,0.72399854361344
swinv2_cr_tiny_384,2,3,0.006654426704514592,0.7418183100578362
swinv2_cr_tiny_384,2,4,0.006229729117431606,0.767227871121227
swinv2_cr_tiny_384,2,5,0.006003237943547832,0.7980159592516766
swinv2_cr_tiny_384,2,6,0.005903192853673737,0.7899658016035502
swinv2_cr_tiny_384,2,7,0.005849408188895233,0.8077674585292021
swinv2_cr_tiny_384,2,8,0.005677281948984063,0.8035412687338205
swinv2_cr_tiny_384,2,9,0.005698499259202575,0.7995257212354123
swinv2_cr_tiny_384,2,10,0.005630612164856687,0.8059012249659732
swinv2_cr_tiny_384,2,11,0.005622682956566747,0.8013109385305746
swinv2_cr_tiny_384,2,12,0.005541897602692748,0.807222266701742
swinv2_cr_tiny_384,2,13,0.005452085557682529,0.8182805107265538
swinv2_cr_tiny_384,2,14,0.005423951674624382,0.8086519655499765
swinv2_cr_tiny_384,2,15,0.005359171889677572,0.7991530464023058
swinv2_cr_tiny_384,2,16,0.005283157130347368,0.8104457610382283
swinv2_cr_tiny_384,2,17,0.005311575786931476,0.8173187999679747
swinv2_cr_tiny_384,2,18,0.005237630722851743,0.8158061785865426
swinv2_cr_tiny_384,2,19,0.005263558545008821,0.8165067310221775
swinv2_cr_tiny_384,2,20,0.005214011236653627,0.8153534406179349
