experiment,epoch,loss,val_auc
oversample_strong_aug,1,0.027415542680720363,0.8648979270822705
oversample_strong_aug,2,0.02090816120045019,0.8885966142910587
oversample_strong_aug,3,0.016256317434646308,0.878293669013366
oversample_strong_aug,4,0.012431654300603525,0.8631644730129577
oversample_strong_aug,5,0.0098608835877053,0.8736470343162263
oversample_strong_aug,6,0.008135653015078365,0.7951155069210625
oversample_strong_aug,7,0.006983649754402643,0.8554292929292929
oversample_strong_aug,8,0.005706265576050856,0.8463645291296806
oversample_strong_aug,9,0.005120491784369116,0.8106039349726218
weighted_sampler_1to4,1,0.027971501324415463,0.8710675781382852
weighted_sampler_1to4,2,0.020478522825858884,0.8746535217494813
weighted_sampler_1to4,3,0.015936176903869073,0.8839329745264088
weighted_sampler_1to4,4,0.012812011692364214,0.8906521018263442
weighted_sampler_1to4,5,0.009696563518253988,0.8764666870727478
weighted_sampler_1to4,6,0.008863670562367932,0.8683467673366663
weighted_sampler_1to4,7,0.007501704035241335,0.8191436673128591
weighted_sampler_1to4,8,0.007036268182159604,0.8287621586232697
weighted_sampler_1to4,9,0.006074440707436326,0.8633419634050947
weighted_sampler_1to4,10,0.005471311766640334,0.8655653759820425
weighted_sampler_1to4,11,0.004667105557899908,0.9015459732000135
weighted_sampler_1to4,12,0.004168898099262309,0.8557810852634085
weighted_sampler_1to4,13,0.003891063333788264,0.8900409822126993
weighted_sampler_1to4,14,0.003267607899719822,0.8565781978029452
weighted_sampler_1to4,15,0.0031337268645601573,0.8473157500935278
weighted_sampler_1to4,16,0.0027504263298848758,0.8436660374791687
weighted_sampler_1to4,17,0.0020463009307234797,0.8055629952725913
weighted_sampler_1to4,18,0.0020182269597933313,0.8332228003945176
