model,fold,epoch,loss,val_auc
efficientnet_b5,1,1,0.007270105899235815,0.85238857429514
efficientnet_b5,1,2,0.006395585957518888,0.8107038397442438
efficientnet_b5,1,3,0.0063774713563808,0.7901617181920212
efficientnet_b5,1,4,0.006262542072431219,0.7066179471482502
efficientnet_b5,1,5,0.006429399484359972,0.6952415569839812
efficientnet_b5,1,6,0.006157290516475429,0.8098131993334013
efficientnet_b5,1,7,0.006072139693523528,0.7733458320579533
efficientnet_b5,1,8,0.006014665950771916,0.8157022667754992
