model,fold,epoch,loss,val_auc
efficientnet_b5,4,1,0.00712597859560791,0.8204215733693541
efficientnet_b5,4,2,0.006260866267428831,0.6155129075831581
efficientnet_b5,4,3,0.006504548893999714,0.5289064203353642
efficientnet_b5,4,4,0.0065637396417566034,0.7644970666292425
efficientnet_b5,4,5,0.006294791692223538,0.6921852797666335
efficientnet_b5,4,6,0.006222330875273982,0.7844617809733128
efficientnet_b5,4,7,0.006140205377505133,0.8025832708900857
efficientnet_b5,4,8,0.0060414419141697805,0.8116101837209827
