epoch,tr_loss,tr_auc,vl_loss,vl_auc,vl_acc,vl_f1,lr,time_s
1,0.7057041551823834,0.6733111148761435,0.6924269495367192,0.7103569413816093,0.9806212596181249,0.0,3.718832306541102e-05,584.9407176971436
2,0.5941568062295876,0.6427332133765407,0.4488880066897999,0.8293587705352412,0.9806212596181249,0.0,9.08589260993902e-05,576.8198447227478
3,0.5249477208053442,0.6718820259258227,0.755088447425261,0.7862027112501495,0.9806212596181249,0.0,9.987775416242425e-05,577.0660526752472
4,0.5011588640457009,0.6689253733637301,0.5711886565942241,0.8170077097970835,0.9806212596181249,0.0,9.890604745450337e-05,574.186824798584
5,0.49172879468746533,0.6693555521479629,0.6372998914852435,0.790664478520266,0.9806212596181249,0.0,9.698244405545753e-05,570.2373411655426
6,0.4831890333630402,0.6743591730130101,0.5877599253186158,0.7837837837837838,0.9806212596181249,0.0,9.414438471738273e-05,572.8795521259308
7,0.4828346956814562,0.6729238288664083,0.5814078093449376,0.8341367933398294,0.9806212596181249,0.0,9.044710903704996e-05,570.7116429805756
8,0.4798176019451655,0.6934469044642085,0.5186260417357188,0.8062828008273929,0.9806212596181249,0.0,8.596258027998811e-05,569.7194356918335
9,0.4758807624884046,0.672509019993037,0.5931162991668699,0.8163345983554713,0.9806212596181249,0.0,8.077808469737757e-05,574.0579431056976
10,0.4817896320237598,0.6742795533003488,0.5100467322508291,0.8161572388327607,0.9806212596181249,0.0,7.499453259845753e-05,571.3867220878601
11,0.46436830694507636,0.7180392086426081,0.6398420243422647,0.8228199736738636,0.9806212596181249,0.0,6.872449424614045e-05,569.3491613864899
12,0.4668454274348229,0.729276892161131,0.5287234379979623,0.8213070755765254,0.9806212596181249,0.0,6.209000880489129e-05,573.1459283828735
13,0.46415008128660135,0.731857830826608,0.49014304966038585,0.834324837171137,0.9806212596181249,0.0,5.522020898720858e-05,570.0632481575012
14,0.4590125498031721,0.7515357400469104,0.5302810522404556,0.8466417081217841,0.9803362781419208,0.0,4.824880763226208e-05,572.5475647449493
15,0.46256714647474595,0.7602313117968714,0.5372267326872263,0.8513641725216679,0.9806212596181249,0.0,4.1311495137574304e-05,568.718808889389
16,0.4621817103370983,0.7631109807647354,0.5314604911040894,0.842752619792468,0.9786263892846965,0.025974025974025976,3.454329839977837e-05,565.8368537425995
17,0.45826258002883286,0.7789158511677916,0.5754256407242446,0.8466374343983453,0.9806212596181249,0.02857142857142857,2.8075952669665765e-05,571.354255437851
18,0.45477608982370704,0.7918480673588131,0.510567847012105,0.8540352496709233,0.9809062410943289,0.028985507246376812,2.2035337475376395e-05,576.6680371761322
19,0.4442175927766621,0.803705104669093,0.5195563105410155,0.855586611279211,0.9809062410943289,0.028985507246376812,1.653902652056919e-05,575.9414916038513
20,0.4372285244369821,0.8151109189276521,0.5958764498331108,0.8500478657025148,0.9809062410943289,0.056338028169014086,1.169399924601839e-05,577.4370641708374
21,0.4571743688004136,0.8112112955262122,0.5393237011811259,0.8620783971827615,0.9809062410943289,0.028985507246376812,7.594558596486312e-06,577.4848942756653
22,0.44526734575243326,0.8220397998480165,0.5696437620956983,0.8639331931552044,0.9811912225705329,0.05714285714285714,4.32049552117146e-06,579.0468373298645
23,0.4503085203220104,0.8246028665241197,0.5376523453298778,0.8637366018770194,0.9811912225705329,0.05714285714285714,1.9355359336432903e-06,578.3374857902527
24,0.43912228709729956,0.8342587896230941,0.5440790368415112,0.8638434449629896,0.9811912225705329,0.05714285714285714,4.861003594217248e-07,577.5662972927094
25,0.4467649090551457,0.8292134823428319,0.5498157881111616,0.8640229413474196,0.9811912225705329,0.05714285714285714,4.0041325044619887e-10,576.0211682319641
