model,fold,epoch,loss,val_auc
swinv2_cr_tiny_384,1,1,0.007798986878838404,0.6246322654150936
swinv2_cr_tiny_384,1,2,0.0071670232202834415,0.7045592711628065
swinv2_cr_tiny_384,1,3,0.006802574296812308,0.7929951875658946
swinv2_cr_tiny_384,1,4,0.006563607754971192,0.8102043158861341
swinv2_cr_tiny_384,1,5,0.006337769958217735,0.7894602591572288
swinv2_cr_tiny_384,1,6,0.006235894935326875,0.8197909226949631
swinv2_cr_tiny_384,1,7,0.00616553574609328,0.820663495221576
swinv2_cr_tiny_384,1,8,0.006068795704935758,0.8320186290514573
swinv2_cr_tiny_384,1,9,0.0060298637333589065,0.8210801193755739
swinv2_cr_tiny_384,1,10,0.006042491868480871,0.8388642315409992
swinv2_cr_tiny_384,1,11,0.005847196243894077,0.8362826497296194
swinv2_cr_tiny_384,1,12,0.005760601998438953,0.84555678842295
swinv2_cr_tiny_384,1,13,0.005751619182220842,0.8508071030166989
swinv2_cr_tiny_384,1,14,0.005681558497768797,0.8515659541543379
swinv2_cr_tiny_384,1,15,0.005644769569518068,0.8581426640138762
swinv2_cr_tiny_384,1,16,0.005583548563087297,0.8550509301771928
swinv2_cr_tiny_384,1,17,0.005578173583259362,0.8516711730095569
swinv2_cr_tiny_384,1,18,0.005514471003983129,0.8478492840866578
swinv2_cr_tiny_384,1,19,0.005467753846482851,0.8495976175900418
swinv2_cr_tiny_384,1,20,0.005510121478798751,0.8503724109784716
swinv2_cr_tiny_384,1,21,0.005365168652845213,0.8497155902458933
swinv2_cr_tiny_384,1,22,0.005394543096163203,0.8536628915416793
