epoch,tr_loss,tr_auc,vl_loss,vl_auc,vl_acc,vl_f1,lr,time_s
1,0.009254349620776257,0.6537110828495385,0.006065021687324836,0.842393627023608,0.9806212596181249,0.0,7.43625667483521e-05,111.15087580680847
2,0.0053347902947601875,0.8259894648197038,0.00619559015388156,0.8232644409114998,0.9806212596181249,0.0,0.00018170046979696075,81.82915735244751
3,0.005189483155952927,0.840028180552845,0.0056217819749938575,0.8651554780587039,0.9806212596181249,0.02857142857142857,0.00019975580736552716,80.44465708732605
4,0.005058015229183888,0.850825319533298,0.0056933266943153945,0.8847227208232902,0.9806212596181249,0.0,0.00019781298529535934,81.96308922767639
5,0.004865226488743785,0.8682698556014747,0.006083235907664692,0.8592791083303417,0.9806212596181249,0.0,0.00019396635251258407,80.63200545310974
6,0.004646315343753939,0.8827044358992506,0.00531192713388009,0.8742136348872591,0.9811912225705329,0.08333333333333333,0.00018829077934883812,80.15486693382263
7,0.004677458271298501,0.8808198792997326,0.0057332436941744,0.8796861377506539,0.9786263892846965,0.24242424242424243,0.00018089673437988505,80.76379585266113
8,0.00436778526091522,0.9023159506790284,0.005380042120404224,0.9005525924406379,0.9800512966657168,0.10256410256410256,0.000171928134280444,80.05365443229675
9,0.004196821983232685,0.9130361507452263,0.005609961632051802,0.886043301365882,0.9783414078084924,0.11627906976744186,0.00016155954264981918,79.77628993988037
10,0.003918072821301264,0.9261635290602122,0.006369162900756981,0.9101812913482743,0.9683670561413508,0.27450980392156865,0.00014999277233000255,79.93885898590088
11,0.003758317982245646,0.9334333628578598,0.005632460392106705,0.9015056327674923,0.9794813337133086,0.14285714285714285,0.00013745295734826312,79.83118653297424
12,0.0033807608633070396,0.9490899851090584,0.0059824126596802005,0.8948642665435834,0.9780564263322884,0.26666666666666666,0.0001241841709393923,79.57554459571838
13,0.0033022714386782017,0.952165128960701,0.006002889996307203,0.8983665829016872,0.9780564263322884,0.11494252873563218,0.00011044467493781793,79.33014869689941
14,0.0027163549434444842,0.9690137682231739,0.0067350247650396836,0.9220301895823717,0.9752066115702479,0.23008849557522124,9.650189300476557e-05,79.67530512809753
15,0.002549477458984833,0.9759812079606129,0.006403991715280261,0.8944197993059473,0.9803362781419208,0.12658227848101267,8.262720553088278e-05,80.32684588432312
16,0.0022328012492942376,0.9811893290640724,0.007193659104475294,0.8826243226148349,0.9789113707609005,0.22916666666666666,6.90906675256255e-05,79.89732933044434
17,0.002129824300796107,0.9821508867723687,0.006466687418866389,0.9115702514658872,0.9783414078084924,0.2830188679245283,5.6155752303682356e-05,80.6361334323883
18,0.001761024647587961,0.9868591283330366,0.007848352738552545,0.8888725062823735,0.9800512966657168,0.2222222222222222,4.407422327660051e-05,80.1178126335144
19,0.0017005233285145938,0.9894448477556713,0.007614845917684803,0.9039779817768432,0.9806212596181249,0.30612244897959184,3.3081233664356436e-05,79.93092250823975
20,0.00123482871878243,0.9949950834157232,0.008500369294369328,0.90592679966494,0.9791963522371046,0.1797752808988764,2.3390749505412214e-05,80.38342452049255
21,0.001372049725943761,0.9928774313947943,0.008732585143477743,0.8990717472690908,0.9791963522371046,0.24742268041237114,1.5191385051159278e-05,80.17561173439026
