model,fold,epoch,loss,val_auc
efficientnet_b5,2,1,0.007119713192503416,0.6892673460595593
efficientnet_b5,2,2,0.006073243046143594,0.7661441593942652
efficientnet_b5,2,3,0.006109544218096953,0.7375149165246498
efficientnet_b5,2,4,0.00628020585881761,0.7401341248146156
efficientnet_b5,2,5,0.006328326511160972,0.667508282721994
efficientnet_b5,2,6,0.006001299338128705,0.7581254551208001
efficientnet_b5,2,7,0.005953859567570572,0.776845931839584
efficientnet_b5,2,8,0.005784803960167875,0.7837694867953013
efficientnet_b5,2,9,0.005830931914253877,0.7595160755338495
efficientnet_b5,2,10,0.005724130492890254,0.7761825515740032
efficientnet_b5,2,11,0.005719971746483889,0.7877192681466909
efficientnet_b5,2,12,0.005540984876435967,0.7973373288650478
efficientnet_b5,2,13,0.005483313053353833,0.8139590076746235
efficientnet_b5,2,14,0.005409113401323199,0.8198017103010755
efficientnet_b5,2,15,0.005381977873263308,0.8155516921915568
efficientnet_b5,2,16,0.005325936358377266,0.8135196135619326
efficientnet_b5,2,17,0.005179424818399219,0.8084489483135272
efficientnet_b5,2,18,0.0052146021466111196,0.8208882814257338
efficientnet_b5,2,19,0.005193397145485505,0.8224094810002556
efficientnet_b5,2,20,0.005187625680924751,0.8232711128394581
efficientnet_b5,2,21,0.0050696083013183225,0.8199856648862149
efficientnet_b5,2,22,0.005134842015596895,0.8212457061377925
efficientnet_b5,2,23,0.005057993424572767,0.8229680166836325
efficientnet_b5,2,24,0.005056046412881607,0.8215754900054519
efficientnet_b5,2,25,0.005014769857829938,0.8220234623112321
