model,fold,epoch,loss,val_auc
swinv2_base_window8_256,2,1,0.006230797536267293,0.8472452562592216
swinv2_base_window8_256,2,2,0.0061345111854265826,0.7634487004990602
swinv2_base_window8_256,2,3,0.006395024149001424,0.5671043451407396
swinv2_base_window8_256,2,4,0.006417559531904632,0.6945867789075576
swinv2_base_window8_256,2,5,0.006345432778888818,0.6775676438181729
swinv2_base_window8_256,2,6,0.006446650942033067,0.5694471449867133
swinv2_base_window8_256,2,7,0.006355112665030621,0.7226879863358915
swinv2_base_window8_256,2,8,0.006186282788823099,0.7247858311125344
