epoch,tr_loss,tr_auc,vl_loss,vl_auc,vl_acc,vl_f1,lr,time_s
1,0.4964331056263655,0.60253160303881,0.41870515028184113,0.8324315776877447,0.9806212596181249,0.0,0.00011158617247341532,634.2343344688416
2,0.42668192346491085,0.8006362160137315,0.47788554848256437,0.8543899687163444,0.9806212596181249,0.02857142857142857,0.00027260294339498316,527.2983295917511
3,0.3912779128691525,0.8191990471370146,0.44674885591322727,0.8385600970989966,0.9717868338557993,0.1951219512195122,0.0002996328119953768,525.5633916854858
4,0.3538101833835427,0.8397006763475658,0.387880790470676,0.878117681248611,0.9797663151895126,0.14457831325301204,0.0002967168015853428,527.2167320251465
5,0.3303542493908902,0.8672338163774622,0.4466639319773425,0.8370984836829239,0.9726417782844116,0.2,0.0002909451271986558,523.5388162136078
6,0.3080968601738975,0.8993298986944155,0.37091243795373224,0.8772543891139717,0.9649472784269022,0.28901734104046245,0.00028243012791207044,525.1200280189514
7,0.292526084311874,0.9140412267476483,0.4371412923898209,0.8664119527497136,0.9683670561413508,0.2014388489208633,0.0002713375385010319,525.7342383861542
8,0.26935860061336137,0.9279958547707845,0.5590718065134503,0.8700232490555072,0.9794813337133086,0.1,0.0002578832636007927,524.1612319946289
9,0.24931966467630073,0.9454776986167795,0.5046725869178772,0.870429252782194,0.9729267597606156,0.18803418803418803,0.00024232917536827514,523.5941331386566
10,0.22580886955363835,0.9581710109898438,0.5196322661231865,0.8942381660597978,0.9763465374750642,0.2905982905982906,0.00022497801643841188,521.1477086544037
11,0.20861040644063925,0.9650998919102082,0.6526640733619306,0.8480990478144178,0.9766315189512682,0.1276595744680851,0.00020616750738312214,522.7694466114044
12,0.17027850474871087,0.9761593470146985,0.7627386895706877,0.8307648255466092,0.9777714448560844,0.11363636363636363,0.00018626377336453004,523.8617849349976
13,0.1500139329164845,0.9865456983193897,0.7548117505979132,0.85189411422808,0.9703619264747791,0.14754098360655737,0.00016565421792514575,519.1897208690643
14,0.13421124410764051,0.9864528533345915,0.7450275695332411,0.8592662871600253,0.9703619264747791,0.21212121212121213,0.000144739982618575,515.658940076828
15,0.11772250686085689,0.991269399150866,0.8810762205944311,0.8558686770261723,0.9754915930464519,0.18867924528301888,0.0001239281392454701,516.123441696167
16,0.0944591981693985,0.9951628567159719,0.8903785035395149,0.8670658324358513,0.9769165004274722,0.25688073394495414,0.00010362376666396751,521.5766377449036
17,0.08848879791126033,0.9951187575821916,0.8995747503237164,0.8648434962476709,0.9740666856654318,0.13333333333333333,8.422206639048485e-05,522.5372548103333
