model,fold,epoch,loss,val_auc
pvt_v2_b4,3,1,0.006364568528757717,0.7839573591103579
pvt_v2_b4,3,2,0.006245595452139807,0.7615363692475076
pvt_v2_b4,3,3,0.006168511444865879,0.7756195796587473
pvt_v2_b4,3,4,0.006079787833241645,0.7905030913598845
pvt_v2_b4,3,5,0.0060976029203089815,0.7437508499932001
pvt_v2_b4,3,6,0.006412385218960836,0.7514787266317253
pvt_v2_b4,3,7,0.006276709571043542,0.5349004592578643
pvt_v2_b4,3,8,0.006454082603510379,0.5094236784567263
pvt_v2_b4,3,9,0.0064889566498107,0.5
pvt_v2_b4,3,10,0.0064122299948916675,0.5
pvt_v2_b4,3,11,0.006410846494335138,0.5
