model,fold,epoch,loss,val_auc
efficientnet_b4,2,1,0.010355258843494364,0.7904156801744613
efficientnet_b4,2,2,0.005501672909360003,0.8255281307545379
efficientnet_b4,2,3,0.00507593124743345,0.8435023046745435
efficientnet_b4,2,4,0.0046599540690658615,0.8620883897015933
efficientnet_b4,2,5,0.004297907394541723,0.8552143976392812
efficientnet_b4,2,6,0.0040213559399629815,0.8525837517585295
efficientnet_b4,2,7,0.003598218887197548,0.8692826343059099
efficientnet_b4,2,8,0.003324837557506376,0.8620597957246287
efficientnet_b4,2,9,0.0030570572225853817,0.8478333390521287
efficientnet_b4,2,10,0.0023971899890317706,0.8543727815839538
efficientnet_b4,2,11,0.002089961707778667,0.8526619086288998
efficientnet_b4,2,12,0.0018427286409851498,0.8316253197759758
efficientnet_b4,2,13,0.0015567131164068717,0.8368265641858532
efficientnet_b4,2,14,0.0013156739473062702,0.8294312086102185
