epoch,loss,val_auc
1,0.0074399318929357925,0.8196049297690712
2,0.0067532370238094705,0.8343844590688025
3,0.006146658691267143,0.8191511070298949
4,0.005951277637800378,0.8427211934156379
5,0.005761525816871157,0.8536926504098221
6,0.005667684647213329,0.81671619392579
7,0.005567735701248996,0.8337722766384382
8,0.005400964327264824,0.855270933238105
9,0.0056546277873794175,0.8499143369724178
10,0.006126786515722313,0.826405893956399
11,0.00580950413673264,0.8298568598442335
12,0.005640256488444019,0.8448447012209638
13,0.005532688673218511,0.8462731268918136
14,0.005536165353795532,0.8538371934836582
15,0.00536355791185579,0.8445460497228174
