model,fold,epoch,loss,val_auc
swinv2_small_window8_256,1,1,0.006236154133874064,0.8558204094820256
swinv2_small_window8_256,1,2,0.006094168032397374,0.8734334081556304
swinv2_small_window8_256,1,3,0.006134581730653772,0.7763589174574023
swinv2_small_window8_256,1,4,0.006215920184369884,0.773931444070333
swinv2_small_window8_256,1,5,0.006403495502339453,0.8130154661089004
swinv2_small_window8_256,1,6,0.006360482121975406,0.7902031680440771
swinv2_small_window8_256,1,7,0.006250547851816478,0.7634531340339421
swinv2_small_window8_256,1,8,0.006483708920978575,0.5750720589735742
swinv2_small_window8_256,1,9,0.006690759091998665,0.5097970445192668
