fold,epoch,tr_loss,tr_auc,vl_loss,vl_auc,time_s
2,1,0.007297925075628605,0.6984558961658929,0.005724416082829732,0.8642409478716346,177.50684809684753
2,2,0.005753700446323719,0.7720236214311379,0.00536182415655271,0.8577241874242321,159.7617425918579
2,3,0.005455370941025978,0.8111675175630984,0.005750156367522762,0.8716912269265079,159.04351687431335
2,4,0.0053288618998516375,0.8209511057226027,0.005633064213751034,0.8777705345501956,159.4388177394867
2,5,0.005141610238400598,0.8393199317377877,0.00514942090681461,0.8725568402753952,159.35344314575195
2,6,0.00494652797398533,0.8588204710289103,0.005285189278623865,0.8801615144445206,159.9442162513733
2,7,0.004710352339076457,0.8810915256787517,0.005223138846004146,0.8934766634643976,158.53439664840698
2,8,0.004487693120818777,0.8932584200684386,0.005367998443341636,0.89352026578833,159.73193168640137
2,9,0.004198356598866774,0.9135712167329706,0.005839761840264418,0.8996717674237745,159.54036045074463
2,10,0.003945379153225768,0.9270425002480751,0.005548584712672789,0.8880671161279993,158.32051062583923
2,11,0.003702354151665683,0.9405022869225224,0.005743190875057193,0.8916174889636086,158.56695938110352
2,12,0.003341873096929652,0.9523841043118398,0.007052825207876101,0.8588943022484503,159.21893954277039
2,13,0.003008202155202449,0.9640158933218201,0.00750721074947225,0.8783995516823349,160.18294286727905
2,14,0.0026520767165972856,0.9728734835192789,0.006612610851693263,0.8940820924540817,160.49912786483765
