model,fold,epoch,loss,val_auc
swinv2_small_window8_256,3,1,0.006253126984671713,0.8091129732500602
swinv2_small_window8_256,3,2,0.0058762836762131995,0.7783207272803356
swinv2_small_window8_256,3,3,0.006047321025224405,0.7548912531776668
swinv2_small_window8_256,3,4,0.006151797827790391,0.6943455836968689
swinv2_small_window8_256,3,5,0.006407349543389904,0.5010932220234545
swinv2_small_window8_256,3,6,0.006451460372080051,0.5651989245624497
swinv2_small_window8_256,3,7,0.006447728033161124,0.6667670966324578
swinv2_small_window8_256,3,8,0.006451493819611285,0.5856657146742825
