model,fold,epoch,loss,val_auc
swinv2_base_window8_256,5,1,0.00639145591701651,0.8360706117198485
swinv2_base_window8_256,5,2,0.0064263888848277865,0.8112284165667213
swinv2_base_window8_256,5,3,0.006609672281398657,0.802847966146407
swinv2_base_window8_256,5,4,0.006808640040678509,0.7730125835937351
swinv2_base_window8_256,5,5,0.006821449604721146,0.536006157176619
swinv2_base_window8_256,5,6,0.0067498941801285295,0.523366811621399
swinv2_base_window8_256,5,7,0.006691575322635023,0.7140502745437189
swinv2_base_window8_256,5,8,0.006754539023055448,0.5120111177288069
